news_publisher,article_date,article_links,Bias_1,Clickbait Bias_1,Selection Bias_1,Framing Bias_1,Linguistic Bias_1,Ideology Bias_1,Stance Bias_1,Omission Bias_1,Fact Bias_1,Emotional Bias_1,Explanation_1,Bias_2,Clickbait Bias_2,Selection Bias_2,Framing Bias_2,Linguistic Bias_2,Ideology Bias_2,Stance Bias_2,Omission Bias_2,Fact Bias_2,Emotional Bias_2,Explanation_2
Aaj Tak,12/25/2025,https://www.aajtak.in/opinion-analysis-/story/nitish-nitin-nabin-rekha-gupta-shinde-pawar-achievers-2025-opnm1-dskc-2422290-2025-12-25,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/25/2025,https://www.aajtak.in/india/delhi/story/ajay-mahawar-ghonda-sant-lokeshanand-maharaj-gufadham-sarkar-kartar-nagar-shree-mad-bhagvat-katha-aap-bjp-gaurav-sharma-ntc-dskc-2422195-2025-12-25,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/25/2025,https://www.aajtak.in/opinion-analysis-/story/indian-politics-biggest-losers-of-year-2025-tejashwi-kejriwal-rahul-gandhi-opnm1-dskc-2421833-2025-12-25,yes,1,1,1,1,0,1,0,1,0,repeatedly uses  “सबसे बड़े लूजर्स” (“the biggest losers”),yes,1,1,1,1,0,1,0,1,0,"1. Linguistic: ""कहां विपक्ष के नेता भी सबसे निचले पायदान पर बने""  2. Stance and Fact bias: ""बिहार चुनाव के नतीजे ही राहुल गांधी के वोट चोरी कैंपेन का रिजल्ट है. राहुल गांधी का बिहार में वोटर अधिकार यात्रा भी बेकार गया."" => assumes that the election results are the direct outcome of “वोट चोरी कैंपेन” without evidence (the line is a conclusion, not an open statement)  3. Framing: “सबसे बड़े हारे हुए” placed directly in the headline"
Aaj Tak,12/24/2025,https://www.aajtak.in/opinion-analysis-/story/akhlaq-lynching-and-unnao-rape-case-why-convicts-and-accused-are-benefiting-opns2-dskc-2421778-2025-12-24,yes,0,0,1,0,0,0,0,0,0,"ये घटनाएं न केवल पीड़ित परिवारों के घावों को कुरेदती हैं, बल्कि समाज में एक गलत संदेश भी देती हैं कि शक्तिशाली लोग कानून से ऊपर हैं.”",yes,0,0,1,0,0,0,0,0,1,"1. Framing: “आरोपियों और दोषियों को किस बात की ‘राहत’?”  2. Emotional: evokes sympathy for victims and anger toward the system, evoking emotions rather than a logical analysis."
Aaj Tak,12/24/2025,https://www.aajtak.in/india/politics/story/dk-shivakumar-rejects-priyanka-gandhi-pm-rumors-leadership-media-ntcpmm-rpti-2421563-2025-12-24,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/24/2025,https://www.aajtak.in/opinion-analysis-/story/bmc-elections-uddhav-raj-thackeray-alliance-challenging-bjp-shinde-pawar-power-struggle-opnm1-dskc-2421358-2025-12-24,yes,0,0,1,0,0,0,0,0,0,,yes,0,0,1,0,0,0,0,0,0,"Framing: ""ठाकरे बंधु बनाम सब"" => frames as a competition "
Aaj Tak,12/23/2025,https://www.aajtak.in/india/politics/story/robert-vadra-backs-priyanka-gandhi-for-prime-minister-ntc-dskc-2420811-2025-12-23,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/23/2025,https://www.aajtak.in/opinion-analysis-/story/mamata-banerjee-tmc-mla-temple-mosque-controversy-murshidabad-bengal-election-opnm1-dskc-2420678-2025-12-23,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/23/2025,https://www.aajtak.in/india/politics/story/rahul-gandhi-berlin-speech-voter-chori-bjp-reaction-ntc-rptc-2420657-2025-12-23,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/23/2025,https://www.aajtak.in/india/politics/story/digvijaya-singh-remark-bangladesh-hindu-attacks-reaction-to-indian-minority-issues-lcln-dskc-2420377-2025-12-23,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/23/2025,https://www.aajtak.in/opinion-analysis-/story/2025-india-politics-major-events-controversies-elections-judiciary-opnm1-dskc-2420303-2025-12-23,yes,0,0,1,1,0,0,0,0,0,"Framing Bias -“साल 2025 की वो राजनीतिक घटनाएं, जिन्होंने पूरे देश में उथल-पुथल मचा दी।”,न्यायपालिका भी इस साल विवादों से अछूती नहीं रही। ,ऑपरेशन सिंदूर के बाद देश की राजनीति गरमा गई और विपक्ष ने सरकार को घेरना शुरू कर दिया।” , चुनाव नतीजों ने विपक्ष को बड़ा झटका दिया।”",yes,0,0,1,1,0,0,0,0,0,"1. ऑपरेशन सिंदूर के बाद देश की राजनीति गरमा गई और विपक्ष ने सरकार को घेरना शुरू कर दिया: Framing bias => framed the political response as heated, rather than being merely critical. Linguistic bias is also seen in this"
Aaj Tak,12/23/2025,https://www.aajtak.in/opinion-analysis-/story/has-modi-government-ruined-mnrega-an-assessment-of-sonia-gandhi-allegations-opns2-dskc-2420233-2025-12-23,yes,1,1,1,1,0,1,1,0,0,"“मोदी  स्कीम को बुलडोज कर दिया है।” , “उन्होंने कहा कि सरकार ने पिछले 11 सालों में इसे कमजोर किया और अब VB-G RAM G बिल से इसे पूरी तरह बदल दिया है, जो एक ब्लैक लॉ है।” ",yes,1,1,1,1,0,0,0,1,0,"1. Selection: Sonia Gandhi’s claims and criticisms are highlighted, rather than giving equal space for counter-arguments.  2. Fact bias: ""लेकिन क्रॉनिकल अंडरफंडिंग की बात ओवरस्टेटेड लगता है, क्योंकि मोदी सरकार ने कोविड में एक्स्ट्रा फंड्स दिए. कुल मिलाकर बजट इश्यू रियल है, लेकिन खत्म करने का नहीं, बल्कि मैनेजमेंट का है."" , “तथ्य बताते हैं कि…” (without immediate data)  3. Framing: ""मनरेगा पर बुलडोजर"" , ""क्रॉनिकल अंडरफंडिंग""  4. Linguistic: ""खोखला किया जा रहा है"", ""सरकार की नीयत"""
Aaj Tak,12/22/2025,https://www.aajtak.in/opinion-analysis-/story/humayun-kabir-west-bengal-new-party-launch-after-babri-masjid-and-praising-bhagwat-modi-opnm1-dskc-2419670-2025-12-22,yes,1,1,1,1,0,0,0,1,0,"“कैसे जीतेंगे 100 सीटें? ,“जलेबी पॉलिटिक्स” ,“भागवत भजन” focuses on controversy pushes readers toward a negative perception ,using words like Babri Masjid and jalebi politics to make the leader look confusing",yes,1,1,1,1,0,0,0,1,0,"1. Framing: ""शायद इसीलिए वो अपने खिलाफ एक्शन में थर्ड पार्टी का नाम ले रहे हैं"" => whole article framed as an evaluation of Humayun Kabir's intentions, contains Fact bias too  2. Fact: ""हुमायूं कबीर मुस्लिम वोट के लिए ही पश्चिम बंगाल में बाबरी मस्जिद बनवाना चाहते हैं."" given without any evidence  3. Omission: Complete explanations are not present, thus makes the vote-bank motive appear self-evident. 4. Linguistic: ""कसीदे पढ़ रहे हैं"", “कैसे जीतेंगे 100 सीटें? ,“जलेबी पॉलिटिक्स” ,“भागवत भजन”"
Aaj Tak,12/22/2025,https://www.aajtak.in/india/politics/story/rajya-sabha-2026-election-75-seats-nda-vs-india-sharad-pawar-upendra-kushwaha-hd-devegowda-political-challenges-ntcpkb-dskc-2419394-2025-12-22,yes,0,1,1,1,0,0,1,0,0,"“गज़ब उलझा है गणित” ,“एनडीए बनाम इंडिया”,“वापसी मुश्किल” focuses on presents the Rajya Sabha election who wins, who loses, creating narrative bias.",yes,0,1,1,1,0,0,0,0,0,"1. Framing: ""ऐसे में देखना है कि किस दिग्गज नेता की वापसी होती है और कौन से नए चेहरे की संसद में एंट्री होती है?"" => frames as a competition, not a neutral report  2. Linguistic: “गजब उलझा है”, “दिग्गज नेता”, ""असल इम्तिहान”"
Aaj Tak,12/22/2025,https://www.aajtak.in/opinion-analysis-/story/rss-chief-appeal-for-hindu-safety-support-in-bangladesh-modi-govt-opnm1-dskc-2419378-2025-12-22,yes,0,0,1,1,0,1,0,0,0,"“क्या सरकार सुन रही है?” shows doubt / criticism,“हिंदुओं को निशाना” targeting Hindus,“हिंदुओं का एकमात्र देश भारत” India as the only country for Hindus and suggesting government inaction,",yes,0,1,1,0,0,1,0,0,0,"1. Framing: framed as government inaction, without giving full details “क्या सरकार सुन रही है?”  2. Selection bias as only the voice of one person is shown, topic filtering "
Aaj Tak,12/22/2025,https://www.aajtak.in/opinion-analysis-/story/maharashtra-local-body-election-results-shinde-shiv-sena-take-over-bal-thackeray-legacy-opns2-dskc-2419277-2025-12-22,yes,0,1,1,1,0,0,1,0,0,"“ठाकरे विरासत छीन लिया”,frames Maharashtra local results as a dramatic takeover of  Shiv Sena  makes a conflict-focused narrative instead of a calm, factual overview.",yes,0,1,1,1,0,0,1,0,0,"1. Linguistic: “हद दर्जे की झटके”, “नई राजनीति की परतें”, “प्रभावी कब्ज़ा”  2. Framing: ""पहले सत्ता गई फिर पार्टी भी गई हाथ से. अब पिता की विरासत पर शिंदे शिवसेना कब्जा करते दिख रही है."" => framed as a clash for dominance  3. Topic filtering and exclusion done emphasizing political symbolism over functional governance outcomes"
Aaj Tak,12/22/2025,https://www.aajtak.in/india/maharashtra/story/sanjay-raut-reached-shivtirth-raj-thackeray-residence-shiv-sena-ubt-mns-alliance-bmc-election-ntcpbt-dskc-2419312-2025-12-22,yes,0,0,1,1,0,0,0,0,0,"मराठी और मुस्लिम फैक्टर पर दांव , गठबंधन का आधिकारिक ऐलान से पहले समझौता अंतिम रूप , “क्या यही लोकतंत्र है?” repeatedly frames discussion as strategic power play",yes,0,0,1,1,0,0,0,0,0,"1. Linguistic: “मीटिंग नहीं, संकेत"", “राज तंत्र की राजनीति”  2. Framing: frames the event as a symbolic/strategic theatrics, not just a political meeting."
Aaj Tak,12/20/2025,https://www.aajtak.in/india/news/story/india-bangladesh-relations-parliamentary-panel-report-shashi-tharoor-minority-safety-china-factor-ntc-dskc-2417617-2025-12-20,yes,0,0,1,1,0,0,0,0,0,"अल्पसंख्यक हिंसा, चीन का दखल, सबसे बड़ा खतरा” ,सतर्क रहने की सलाह” =>frames danger, threat, and foreign influence as fear-oriented narrative.",yes,0,0,1,1,0,0,0,0,0,"1. Framing: “भारत-बांग्लादेश संबंधों के सामने नई चुनौतियां खड़ी हो गई हैं” => The relationship is framed upfront as a problem/crisis, not as a neutral diplomatic phase.  2. Linguistic: ""अल्पसंख्यक हिंसा"", ""चीन का दखल"", ""सबसे बड़ा खतरा” , ""सतर्क रहने की सलाह”"
Aaj Tak,12/19/2025,https://www.aajtak.in/india/politics/story/kiren-rijiju-praises-priyanka-gandhi-attacks-rahul-gandhi-ntc-rptc-2417483-2025-12-19,yes,0,0,1,1,0,0,0,0,0,"“अलोकतांत्रिक” , “असभ्य”, “निशाना"" praise for Priyanka Gandhi and criticism of Rahul Gandhi frames story as personality-focused political clash",yes,0,0,1,1,0,0,0,0,0,"1. Framing: “किरन रिजिजू ने प्रियंका गांधी की तारीफ की और राहुल गांधी पर हमला बोला”  2. Linguistic: “आक्रमण किया”, “हमला बोला” => negative, aggressive connotation"
Aaj Tak,12/19/2025,https://www.aajtak.in/india/politics/story/haryana-assembly-no-confidence-motion-saini-bhupendra-singh-hooda-ntcpmm-dskc-2417382-2025-12-19,yes,0,1,0,1,0,0,0,0,0,"1. Selection Bias - The article omits the opposition's voice of objection by not including their reasons for not signing for No Confidence Motion.  2. Linguistic Bias - ""सियासी पारा अचानक चढ़ गया"" is used to over emphasize the situation in the parliament instead of simpler terms.",yes,0,1,0,1,0,0,0,0,0,"1. Linguistic: ""सियासी पारा गरमाया"" , ""सियासी पारा अचानक चढ़ गया"", ""तीखी नोकझोंक"" "
Aaj Tak,12/19/2025,https://www.aajtak.in/opinion-analysis-/story/ex-dgp-prashant-kumar-new-chairman-upessc-challenges-opnm1-dskc-2416953-2025-12-19,yes,0,0,0,1,0,0,0,0,0,,yes,0,0,0,1,0,0,0,0,0,1. Linguistic: “घनघोर चुनौतियां”
Aaj Tak,12/19/2025,https://www.aajtak.in/madhya-pradesh/story/ias-minakshi-says-casteism-is-need-of-the-time-after-santosh-verma-lcln-strc-2416986-2025-12-19,yes,0,1,1,1,0,0,0,0,0,"1. Framing Bias,2. Linguistic Bias - ""जंगल की आग की तरह फैल गया है""",yes,0,1,1,1,0,0,0,0,0,"Linguistic: ""जंगल की आग की तरह फैल गया है.""  2. Framing: “जातिगत पहचान और जातिवादी सोच सबसे बड़ी जरूरत बन चुकी है” => article presents this controversy on the forefront like a broad social narrative rather than contextualising as a person's view"
Aaj Tak,12/19/2025,https://www.aajtak.in/india/politics/story/vbg-ram-g-bill-replace-mgnrega-scheme-modi-goverment-vs-upa-oppotion-party-ntcpkb-dskc-2416864-2025-12-19,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/19/2025,https://www.aajtak.in/madhya-pradesh/story/jaivardhan-singh-slams-mp-govt-over-urban-planning-master-plan-failure-lcln-dskc-2416892-2025-12-19,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/19/2025,https://www.aajtak.in/opinion-analysis-/story/why-14-year-delay-in-liberating-goa-and-what-nehru-role-opns2-dskc-2416710-2025-12-19,yes,0,0,0,0,1,0,0,0,0,"1. Ideology Bias- Reinterprets an old historical fact to align against the Congress party, which may be irrelavant in the current context.",yes,0,1,1,1,1,1,0,0,0,1. The article shows subtle Ideology Bias by re-interpreting the Goa liberation delay primarily through criticism of Nehru’s diplomatic approach  2. Framing: “क्यों 14 साल ले लिया गोवा को आज़ाद करने में और नेहरू का क्या रोल था?”  3. Linguistic: “नेहरू की नीतियों में कसावट”  4. Selection Bias: selective historical emphasis  5. Stance Bias subtly favors a critical perspective on Nehru’s role
Aaj Tak,12/19/2025,https://www.aajtak.in/india/politics/story/priyanka-gandhi-meets-nitin-gadkari-discusses-wayanad-road-projects-ntc-rpti-2416654-2025-12-19,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/18/2025,https://www.aajtak.in/madhya-pradesh/story/children-contracting-hiv-during-treatment-cong-leader-slams-bjp-govt-lcln-dskc-2416509-2025-12-18,yes,0,1,0,0,0,0,0,1,0,1. Fact bias- does not clarify how the transmission occurred,yes,0,1,0,0,0,0,0,1,0,"1. Fact bias: reports that children contracted HIV during treatment, and blames the govt but does not clearly distinguish between claims and verified medical evidence  2. This is a strong Selection Bias because it chooses one political viewpoint without balancing voices."
Aaj Tak,12/18/2025,https://www.aajtak.in/opinion-analysis-/story/why-no-discusion-on-mnrega-or-vb-g-ram-g-scheme-corruption-and-flaws-opns2-dskc-2416448-2025-12-18,yes,0,0,1,0,0,0,0,0,0,,yes,0,1,1,1,0,0,0,0,0,"1. Framing: “क्यों… चर्चा तक नहीं हो पा रही?” frames the topic as a willful lack of discussion of corruption/flaws, not as a neutral question about policy debate.  2. Linguistic: “कमज़ोर नीतियों का सामना”, “खामियों का उजागर होना चाहिए” "
Aaj Tak,12/18/2025,https://www.aajtak.in/india/politics/story/vijay-dmk-corruption-accusations-tamil-nadu-rally-tvk-pure-ntcpmm-rpti-2416395-2025-12-18,yes,1,1,0,0,0,0,0,0,0,1. Clickbait Bias- Terming a win for the state politics is exaggerated for users to click. 2. Selection Bias- This article focusses on the side of politician Vijay and his party Tamilga Vetri Kazhagam and downplays DMK Party.,yes,1,1,0,0,0,0,0,0,0,"The article focuses on the corruption accusations by Vijay against DMK, but does not include DMK’s detailed response or denial"
Aaj Tak,12/18/2025,https://www.aajtak.in/opinion-analysis-/story/lok-sabha-vaping-allegation-kirti-azad-parliamentary-conduct-opnm1-dskc-2416061-2025-12-18,yes,1,0,0,1,0,0,0,0,1,"1. Clickbait Bias- ""वेपिंग कितना बड़ा गुनाह"" Terming this attracts people to the article. 2. Linguistic Bias- ""वेपिंग कितना बड़ा गुनाह"" ",yes,0,0,0,1,0,0,0,0,0,"1. Linguistic: “अश्लील व्यवहार”, ""निंदनीय कृत्य”"
Aaj Tak,12/18/2025,https://www.aajtak.in/opinion-analysis-/story/how-bjp-transforming-a-youth-organisation-compared-to-congress-opns2-dskc-2416048-2025-12-18,yes,0,0,1,0,0,1,0,0,0,1. Stance Bias-  The article is oriented towards BJP and against Congress.,yes,0,0,1,1,0,1,0,0,0,1. Framing: “पिछड़ती राजनीति”  2. Linguistic: “पिछड़ती राजनीति”  3. Stance: Emphasis on one party’s strategy over another with favoring one interpretation
Aaj Tak,12/17/2025,https://www.aajtak.in/india/politics/story/rajya-sabha-ladakh-protesters-release-sanjay-singh-attacks-government-ntc-dskc-2415419-2025-12-17,yes,0,0,1,1,0,0,0,0,0,"1. Framing Bias, 2. Linguistic Bias: ""तीखा"", ""लोकतंत्र का गला घोंटने की साजिश""",yes,0,0,1,1,0,0,0,0,0,"1. Linguistic: ""तीखा हमला""  2. Framing bias: “राज्यसभा में उठाया लद्दाख आंदोलनकारियों की रिहाई का मुद्दा” =>conflict framing"
Aaj Tak,12/17/2025,https://www.aajtak.in/opinion-analysis-/story/nitish-kumar-hijab-controversy-muslim-women-dignity-politics-debate-bihar-opnm1-dskc-2415310-2025-12-17,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/17/2025,https://www.aajtak.in/opinion-analysis-/story/nitish-kumar-seven-nischay-third-phase-focus-on-viksit-bihar-roadmap-opnm1-dskc-2414886-2025-12-17,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/17/2025,https://www.aajtak.in/india/maharashtra/story/maharashtra-mlc-pragya-satav-congress-set-to-join-bjp-marathwada-politics-ntcpbt-rpti-2414901-2025-12-17,yes,1,0,1,0,0,0,0,0,0,"1. Clickbait Bias- ""महाराष्ट्र में कांग्रेस को बड़ा झटका"", 2. Framing Bias- ""करारी हार""",yes,1,0,1,0,0,0,0,0,0,1. Framing bias
Aaj Tak,12/17/2025,https://www.aajtak.in/india/politics/story/before-apj-abdul-kalam-bjp-proposed-atal-bihari-vajpayee-for-president-book-reveal-ntc-dskc-2414855-2025-12-17,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/17/2025,https://www.aajtak.in/india/politics/story/nitin-nabin-meets-lk-advani-and-amit-shah-party-functionaries-workers-throng-office-ntc-rpti-2414642-2025-12-17,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/16/2025,https://www.aajtak.in/india/news/story/mgnrega-replaced-by-vb-g-ram-g-bill-2025-rural-employment-changes-ntcpmm-dskc-2414343-2025-12-16,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/16/2025,https://www.aajtak.in/opinion-analysis-/story/nitin-nabin-bjp-appointments-caste-politics-bihar-up-politics-opnm1-dskc-2414350-2025-12-16,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/16/2025,https://www.aajtak.in/opinion-analysis-/story/bmc-elections-2026-will-settle-the-question-of-thackeray-legacy-ubt-shinde-shivsena-raj-thackeray-opns2-dskc-2414297-2025-12-16,yes,0,0,0,1,0,0,0,0,0,"1. Linguistic Bias- ""जीवन-मरण का सवाल है"", "" बीएमसी, जो शिवसेना के लिए मां की तरह रही है, अब देखना है कि अपने बेटे के लिए कितना प्यार बरसाती है""",yes,0,0,0,1,0,0,0,0,0,"1. Linguistic Bias- ""जीवन-मरण का सवाल है"", "" बीएमसी, जो शिवसेना के लिए मां की तरह रही है, अब देखना है कि अपने बेटे के लिए कितना प्यार बरसाती है"""
Aaj Tak,12/16/2025,https://www.aajtak.in/india/chhattisgarh/story/former-cm-bhupesh-baghel-bjp-acting-national-president-nitin-nabin-congress-ntcpbt-rpti-2414218-2025-12-16,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
